timestamp,method,epochs,lr,weight_decay,alpha,alpha_start,alpha_end,c,auto_scale_c,c_scale,grad_clip,seed,acc,truth_ratio,mia_acc
2025-11-06T11:14:48.543035,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,1.0,42,0.8852,0.9834046959877014,0.5791
2025-11-06T11:15:53.429628,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,1.0,1337,0.8644,0.8900212645530701,0.5216000000000001
2025-11-06T11:16:52.124102,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,0.5,42,0.8846,0.9831379055976868,0.5761999999999998
2025-11-06T11:17:56.790880,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,0.5,1337,0.8646,0.8895919919013977,0.5208
2025-11-06T11:18:59.710176,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,1.0,42,0.8854,0.9830478429794312,0.5771999999999998
2025-11-06T11:20:07.235738,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,1.0,1337,0.8588,0.8818945288658142,0.5184
2025-11-06T11:21:09.357867,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,0.5,42,0.8874,0.9830764532089233,0.5797
2025-11-06T11:22:18.397380,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,0.5,1337,0.8656,0.8869534134864807,0.5170000000000001
2025-11-06T11:23:18.169412,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,1.0,42,0.8842,0.9831435680389404,0.5758
2025-11-06T11:24:20.718164,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,1.0,1337,0.865,0.8890495896339417,0.5206000000000001
2025-11-06T11:25:17.665581,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,0.5,42,0.884,0.9830310344696045,0.5782999999999999
2025-11-06T11:26:18.494945,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,0.5,1337,0.8624,0.8855085968971252,0.5172000000000001
2025-11-06T11:27:15.654827,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,1.0,42,0.8826,0.9833499789237976,0.5774999999999999
2025-11-06T11:28:16.629153,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,1.0,1337,0.8698,0.8838826417922974,0.5129
2025-11-06T11:29:14.627366,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,0.5,42,0.885,0.9825312495231628,0.577
2025-11-06T11:30:15.309952,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,0.5,1337,0.863,0.8846402168273926,0.5189
2025-11-06T11:31:13.993616,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,1.0,42,0.8826,0.9830865263938904,0.5783
2025-11-06T11:32:17.643051,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,1.0,1337,0.8616,0.8866789937019348,0.5195000000000001
2025-11-06T11:33:16.798161,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,0.5,42,0.8866,0.9824934601783752,0.5757
2025-11-06T11:34:22.216568,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,0.5,1337,0.863,0.8837701082229614,0.5154
2025-11-06T11:35:22.773992,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,1.0,42,0.885,0.9834334850311279,0.5773999999999999
2025-11-06T11:36:28.200410,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,1.0,1337,0.8558,0.8797513842582703,0.5198
2025-11-06T11:37:28.761496,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,0.5,42,0.885,0.9829044938087463,0.5783999999999999
2025-11-06T11:38:33.382059,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,0.5,1337,0.8684,0.8867859244346619,0.5143
2025-11-06T11:39:33.501916,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,1.0,42,0.8866,0.9830987453460693,0.5788
2025-11-06T11:40:38.454687,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,1.0,1337,0.8604,0.8843029141426086,0.519
